Policy_Area,Dataset,Variable,Year,Count,Tract,tractnumber,Neighborhood,GEOID,Row_ID,Date,Location,Los Angeles Incorporated Cities,DPW_CITY_BOUNDARIES_from_dmu2_xaer,la_county_tracts_from_jczq_z5ui,City Boundaries_from_22pk_kkuz,LA Neighborhoods_from_5ikr_59ci,layer_0_from_yr99_sgmi,layer_0_from_mgnu_zr5s,New Neighborhoods_from_s3dq_ztay,Neighborhoods_from_5jp5_kw3x,Neighborhoods_from_gw34_aa8i
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1325.01, Los Angeles County, California",132501,Reseda,1400000US06037132501,Sheltered_Population_2017_1400000US06037132501,01/01/2017 12:00:00 AM,"(34.197466, -118.548712)",76,305,526,76,186,172,179,30,180,180
Housing & Real Estate,Homelessness,Unsheltered Population,2017,3,"Census Tract 1311, Los Angeles County, California",131100,Lake Balboa,1400000US06037131100,Unsheltered_Population_2017_1400000US06037131100,01/01/2017 12:00:00 AM,"(34.2148095, -118.505505)",76,305,1541,76,77,139,135,138,135,135
Housing & Real Estate,Homelessness,Unsheltered Population,2018,20,"Census Tract 1898, Los Angeles County, California",189800,Hollywood,1400000US06037189800,Unsheltered_Population_2018_1400000US06037189800,01/01/2018 12:00:00 AM,"(34.0980545, -118.359927)",76,305,1014,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1193.41, Los Angeles County, California",119341,Panorama City,1400000US06037119341,Sheltered_Population_2018_1400000US06037119341,01/01/2018 12:00:00 AM,"(34.237627, -118.4453355)",76,305,1574,76,172,183,177,179,179,179
Housing & Real Estate,Homelessness,Unsheltered Population,2017,2,"Census Tract 1380, Los Angeles County, California",138000,Woodland Hills,1400000US06037138000,Unsheltered_Population_2017_1400000US06037138000,01/01/2017 12:00:00 AM,"(34.1469275, -118.5914025)",76,305,2050,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1276.03, Los Angeles County, California",127603,Van Nuys,1400000US06037127603,Sheltered_Population_2018_1400000US06037127603,01/01/2018 12:00:00 AM,"(34.19575, -118.479983)",76,305,228,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1345.21, Los Angeles County, California",134521,Canoga Park,1400000US06037134521,Sheltered_Population_2017_1400000US06037134521,01/01/2017 12:00:00 AM,"(34.2046645, -118.5952795)",76,305,43,76,35,73,223,225,225,225
Housing & Real Estate,Homelessness,Total Homeless Population,2017,28,"Census Tract 1437, Los Angeles County, California",143700,Hollywood Hills,1400000US06037143700,Total_Homeless_Population_2017_1400000US06037143700,01/01/2017 12:00:00 AM,"(34.128096, -118.358231)",76,305,2213,76,106,229,230,228,228,228
Housing & Real Estate,Homelessness,Unsheltered Population,2017,15,"Census Tract 1281.02, Los Angeles County, California",128102,Van Nuys,1400000US06037128102,Unsheltered_Population_2017_1400000US06037128102,01/01/2017 12:00:00 AM,"(34.190296, -118.444351)",76,305,1536,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,1400000US06037115103,Sheltered_Population_2018_1400000US06037115103,01/01/2018 12:00:00 AM,"(34.246414, -118.528551)",76,305,2154,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1914.20, Los Angeles County, California",191420,East Hollywood,1400000US06037191420,Sheltered_Population_2017_1400000US06037191420,01/01/2017 12:00:00 AM,"(34.085129, -118.2880925)",76,305,504,76,67,234,219,233,233,233
Housing & Real Estate,Homelessness,Unsheltered Population,2018,10,"Census Tract 1230.20, Los Angeles County, California",123020,Sun Valley,1400000US06037123020,Unsheltered_Population_2018_1400000US06037123020,01/01/2018 12:00:00 AM,"(34.2048255, -118.366247)",76,305,771,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1287.02, Los Angeles County, California",128702,Sherman Oaks,1400000US06037128702,Sheltered_Population_2018_1400000US06037128702,01/01/2018 12:00:00 AM,"(34.1600075, -118.439966)",76,305,1305,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,Sheltered_Population_2018_1400000US06037108101,01/01/2018 12:00:00 AM,"(34.280038, -118.5413715)",76,305,720,76,179,231,232,230,230,230
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1942, Los Angeles County, California",194200,Hollywood Hills West,1400000US06037194200,Sheltered_Population_2017_1400000US06037194200,01/01/2017 12:00:00 AM,"(34.1037495, -118.3746145)",76,305,1525,76,107,138,134,137,134,134
Housing & Real Estate,Homelessness,Unsheltered Population,2017,22,"Census Tract 1278.03, Los Angeles County, California",127803,Van Nuys,1400000US06037127803,Unsheltered_Population_2017_1400000US06037127803,01/01/2017 12:00:00 AM,"(34.197557, -118.4530895)",76,305,1303,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2017,3,"Census Tract 1043.20, Los Angeles County, California",104320,Pacoima,1400000US06037104320,Total_Homeless_Population_2017_1400000US06037104320,01/01/2017 12:00:00 AM,"(34.27316, -118.4202235)",76,305,1888,76,167,98,98,100,98,97
Housing & Real Estate,Homelessness,Total Homeless Population,2018,70,"Census Tract 1975, Los Angeles County, California",197500,Echo Park,1400000US06037197500,Total_Homeless_Population_2018_1400000US06037197500,01/01/2018 12:00:00 AM,"(34.0729805, -118.256785)",76,305,460,76,63,148,147,150,151,151
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1371.03, Los Angeles County, California",137103,Woodland Hills,1400000US06037137103,Sheltered_Population_2018_1400000US06037137103,01/01/2018 12:00:00 AM,"(34.1742965, -118.6015635)",76,305,758,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1243, Los Angeles County, California",124300,North Hollywood,1400000US06037124300,Sheltered_Population_2017_1400000US06037124300,01/01/2017 12:00:00 AM,"(34.175793, -118.36403)",76,305,302,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Unsheltered Population,2018,34,"Census Tract 1241.05, Los Angeles County, California",124105,North Hollywood,1400000US06037124105,Unsheltered_Population_2018_1400000US06037124105,01/01/2018 12:00:00 AM,"(34.181229, -118.383405)",76,305,534,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Total Homeless Population,2018,9,"Census Tract 1862.01, Los Angeles County, California",186201,Eagle Rock,1400000US06037186201,Total_Homeless_Population_2018_1400000US06037186201,01/01/2018 12:00:00 AM,"(34.121613, -118.2186485)",76,305,1602,76,65,154,154,157,149,149
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1862.03, Los Angeles County, California",186203,Mount Washington,1400000US06037186203,Sheltered_Population_2017_1400000US06037186203,01/01/2017 12:00:00 AM,"(34.1149675, -118.215376)",76,305,2214,76,156,158,152,155,132,132
Housing & Real Estate,Homelessness,Unsheltered Population,2018,24,"Census Tract 1175.30, Los Angeles County, California",117530,North Hills,1400000US06037117530,Unsheltered_Population_2018_1400000US06037117530,01/01/2018 12:00:00 AM,"(34.224845, -118.4634755)",76,305,732,76,159,72,72,73,75,67
Housing & Real Estate,Homelessness,Unsheltered Population,2017,14,"Census Tract 1871.01, Los Angeles County, California",187101,Atwater Village,1400000US06037187101,Unsheltered_Population_2017_1400000US06037187101,01/01/2017 12:00:00 AM,"(34.1156225, -118.259303)",76,305,1605,76,14,83,83,84,93,93
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1041.05, Los Angeles County, California",104105,Pacoima,1400000US06037104105,Sheltered_Population_2018_1400000US06037104105,01/01/2018 12:00:00 AM,"(34.276146, -118.404645)",76,305,201,76,167,98,98,100,98,97
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1864.04, Los Angeles County, California",186404,Glassell Park,1400000US06037186404,Sheltered_Population_2017_1400000US06037186404,01/01/2017 12:00:00 AM,"(34.1070285, -118.235004)",76,305,52,76,85,178,171,174,173,173
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1439.01, Los Angeles County, California",143901,Studio City,1400000US06037143901,Total_Homeless_Population_2018_1400000US06037143901,01/01/2018 12:00:00 AM,"(34.132849, -118.3947615)",76,305,1592,76,222,132,128,131,129,129
Housing & Real Estate,Homelessness,Unsheltered Population,2017,27,"Census Tract 1814, Los Angeles County, California",181400,Eagle Rock,1400000US06037181400,Unsheltered_Population_2017_1400000US06037181400,01/01/2017 12:00:00 AM,"(34.1364725, -118.210235)",76,305,538,76,65,154,154,157,149,149
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1286.01, Los Angeles County, California",128601,Valley Glen,1400000US06037128601,Sheltered_Population_2017_1400000US06037128601,01/01/2017 12:00:00 AM,"(34.1781255, -118.439977)",76,305,39,76,237,159,144,147,136,136
Housing & Real Estate,Homelessness,Total Homeless Population,2018,2,"Census Tract 1415, Los Angeles County, California",141500,Encino,1400000US06037141500,Total_Homeless_Population_2018_1400000US06037141500,01/01/2018 12:00:00 AM,"(34.138146, -118.4788925)",76,305,1138,76,79,266,267,266,266,266
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 1341.01, Los Angeles County, California",134101,Winnetka,1400000US06037134101,Unsheltered_Population_2017_1400000US06037134101,01/01/2017 12:00:00 AM,"(34.214331, -118.5666505)",76,305,649,76,271,222,222,218,216,216
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 1952.01, Los Angeles County, California",195201,Los Feliz,1400000US06037195201,Total_Homeless_Population_2017_1400000US06037195201,01/01/2017 12:00:00 AM,"(34.1079075, -118.2783115)",76,305,1527,76,140,228,229,224,221,221
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1435, Los Angeles County, California",143500,Studio City,1400000US06037143500,Sheltered_Population_2017_1400000US06037143500,01/01/2017 12:00:00 AM,"(34.146964, -118.4092995)",76,305,2339,76,222,132,128,131,129,129
Housing & Real Estate,Homelessness,Total Homeless Population,2018,13,"Census Tract 1349.05, Los Angeles County, California",134905,Woodland Hills,1400000US06037134905,Total_Homeless_Population_2018_1400000US06037134905,01/01/2018 12:00:00 AM,"(34.1829585, -118.584201)",76,305,1562,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Total Homeless Population,2018,24,"Census Tract 1412.01, Los Angeles County, California",141201,Sherman Oaks,1400000US06037141201,Total_Homeless_Population_2018_1400000US06037141201,01/01/2018 12:00:00 AM,"(34.1528925, -118.442632)",76,305,1136,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Unsheltered Population,2017,22,"Census Tract 1852.03, Los Angeles County, California",185203,Cypress Park,1400000US06037185203,Unsheltered_Population_2017_1400000US06037185203,01/01/2017 12:00:00 AM,"(34.099608, -118.2317465)",76,305,1600,76,51,177,170,173,172,172
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1112.04, Los Angeles County, California",111204,Porter Ranch,1400000US06037111204,Sheltered_Population_2018_1400000US06037111204,01/01/2018 12:00:00 AM,"(34.2620495, -118.5490485)",76,305,1893,76,179,231,232,230,230,230
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1320.01, Los Angeles County, California",132001,Lake Balboa,1400000US06037132001,Sheltered_Population_2018_1400000US06037132001,01/01/2018 12:00:00 AM,"(34.1920605, -118.5142095)",76,305,751,76,77,139,135,138,135,135
Housing & Real Estate,Homelessness,Unsheltered Population,2017,34,"Census Tract 1236.01, Los Angeles County, California",123601,Valley Glen,1400000US06037123601,Unsheltered_Population_2017_1400000US06037123601,01/01/2017 12:00:00 AM,"(34.177484, -118.417834)",76,305,1584,76,237,159,144,147,136,136
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,1400000US06037106649,Sheltered_Population_2018_1400000US06037106649,01/01/2018 12:00:00 AM,"(34.288747, -118.4611105)",76,305,1890,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 1347.10, Los Angeles County, California",134710,Winnetka,1400000US06037134710,Unsheltered_Population_2017_1400000US06037134710,01/01/2017 12:00:00 AM,"(34.204629, -118.579151)",76,305,1307,76,271,222,222,218,216,216
Housing & Real Estate,Homelessness,Total Homeless Population,2017,2,"Census Tract 1893, Los Angeles County, California",189300,Los Feliz,1400000US06037189300,Total_Homeless_Population_2017_1400000US06037189300,01/01/2017 12:00:00 AM,"(34.112585, -118.306918)",76,305,1608,76,140,228,229,224,221,221
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1974.10, Los Angeles County, California",197410,Echo Park,1400000US06037197410,Sheltered_Population_2017_1400000US06037197410,01/01/2017 12:00:00 AM,"(34.094369, -118.2512135)",76,305,1620,76,63,148,147,150,151,151
Housing & Real Estate,Homelessness,Unsheltered Population,2017,99,"Census Tract 1252, Los Angeles County, California",125200,Valley Village,1400000US06037125200,Unsheltered_Population_2017_1400000US06037125200,01/01/2017 12:00:00 AM,"(34.1648915, -118.383369)",76,305,1632,76,138,109,102,68,108,107
Housing & Real Estate,Homelessness,Total Homeless Population,2017,182,"Census Tract 1200.20, Los Angeles County, California",120020,Panorama City,1400000US06037120020,Total_Homeless_Population_2017_1400000US06037120020,01/01/2017 12:00:00 AM,"(34.2166115, -118.4541405)",76,305,523,76,172,183,177,179,179,179
Housing & Real Estate,Homelessness,Total Homeless Population,2018,9,"Census Tract 1210.10, Los Angeles County, California",121010,Sun Valley,1400000US06037121010,Total_Homeless_Population_2018_1400000US06037121010,01/01/2018 12:00:00 AM,"(34.224559, -118.402591)",76,305,767,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1991.20, Los Angeles County, California",199120,Lincoln Heights,1400000US06037199120,Sheltered_Population_2018_1400000US06037199120,01/01/2018 12:00:00 AM,"(34.0713815, -118.200508)",76,305,1759,76,134,122,120,122,120,120
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,1400000US06037106646,Total_Homeless_Population_2018_1400000US06037106646,01/01/2018 12:00:00 AM,"(34.2790905, -118.4941245)",76,305,2216,76,89,263,263,257,263,263
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,1400000US06037115103,Unsheltered_Population_2018_1400000US06037115103,01/01/2018 12:00:00 AM,"(34.246414, -118.528551)",76,305,2154,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1231.03, Los Angeles County, California",123103,North Hollywood,1400000US06037123103,Sheltered_Population_2018_1400000US06037123103,01/01/2018 12:00:00 AM,"(34.1906295, -118.365029)",76,305,298,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Total Homeless Population,2018,18,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,1400000US06037106114,Total_Homeless_Population_2018_1400000US06037106114,01/01/2018 12:00:00 AM,"(34.302675, -118.426951)",76,305,205,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Total Homeless Population,2018,3,"Census Tract 1899.03, Los Angeles County, California",189903,Hollywood,1400000US06037189903,Total_Homeless_Population_2018_1400000US06037189903,01/01/2018 12:00:00 AM,"(34.1026455, -118.34759)",76,305,425,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Total Homeless Population,2018,1,"Census Tract 1393.01, Los Angeles County, California",139301,Tarzana,1400000US06037139301,Total_Homeless_Population_2018_1400000US06037139301,01/01/2018 12:00:00 AM,"(34.1796355, -118.556094)",76,305,45,76,225,49,49,50,49,49
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1201.08, Los Angeles County, California",120108,Panorama City,1400000US06037120108,Sheltered_Population_2018_1400000US06037120108,01/01/2018 12:00:00 AM,"(34.231779, -118.4563995)",76,305,2219,76,172,183,177,179,179,179
Housing & Real Estate,Homelessness,Unsheltered Population,2018,1,"Census Tract 1373.01, Los Angeles County, California",137301,Woodland Hills,1400000US06037137301,Unsheltered_Population_2018_1400000US06037137301,01/01/2018 12:00:00 AM,"(34.1767335, -118.6309385)",76,305,759,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Unsheltered Population,2017,51,"Census Tract 1273, Los Angeles County, California",127300,Van Nuys,1400000US06037127300,Unsheltered_Population_2017_1400000US06037127300,01/01/2017 12:00:00 AM,"(34.2087545, -118.4697515)",76,305,37,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2018,2,"Census Tract 1952.02, Los Angeles County, California",195202,Los Feliz,1400000US06037195202,Total_Homeless_Population_2018_1400000US06037195202,01/01/2018 12:00:00 AM,"(34.102058, -118.279132)",76,305,1527,76,140,228,229,224,221,221
Housing & Real Estate,Homelessness,Total Homeless Population,2018,14,"Census Tract 1913.01, Los Angeles County, California",191301,East Hollywood,1400000US06037191301,Total_Homeless_Population_2018_1400000US06037191301,01/01/2018 12:00:00 AM,"(34.092753, -118.286057)",76,305,429,76,67,234,219,233,233,233
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1131.02, Los Angeles County, California",113102,Chatsworth,1400000US06037113102,Sheltered_Population_2017_1400000US06037113102,01/01/2017 12:00:00 AM,"(34.265325, -118.568068)",76,305,499,76,45,168,162,165,164,164
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1374.01, Los Angeles County, California",137401,Woodland Hills,1400000US06037137401,Sheltered_Population_2017_1400000US06037137401,01/01/2017 12:00:00 AM,"(34.1582135, -118.612342)",76,305,1111,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Total Homeless Population,2018,25,"Census Tract 1903.01, Los Angeles County, California",190301,Hollywood,1400000US06037190301,Total_Homeless_Population_2018_1400000US06037190301,01/01/2018 12:00:00 AM,"(34.103533, -118.3178)",76,305,1320,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Total Homeless Population,2018,26,"Census Tract 1895, Los Angeles County, California",189500,Hollywood Hills,1400000US06037189500,Total_Homeless_Population_2018_1400000US06037189500,01/01/2018 12:00:00 AM,"(34.109247, -118.3218185)",76,305,1609,76,106,229,230,228,228,228
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1901, Los Angeles County, California",190100,Hollywood,1400000US06037190100,Sheltered_Population_2017_1400000US06037190100,01/01/2017 12:00:00 AM,"(34.0992315, -118.3421205)",76,305,1015,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Total Homeless Population,2018,10,"Census Tract 1234.10, Los Angeles County, California",123410,Valley Glen,1400000US06037123410,Total_Homeless_Population_2018_1400000US06037123410,01/01/2018 12:00:00 AM,"(34.197565, -118.4224435)",76,305,34,76,237,159,144,147,136,136
Housing & Real Estate,Homelessness,Sheltered Population,2017,107,"Census Tract 1218.02, Los Angeles County, California",121802,Sun Valley,1400000US06037121802,Sheltered_Population_2017_1400000US06037121802,01/01/2017 12:00:00 AM,"(34.219592, -118.39214)",76,305,769,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1411.01, Los Angeles County, California",141101,Sherman Oaks,1400000US06037141101,Sheltered_Population_2017_1400000US06037141101,01/01/2017 12:00:00 AM,"(34.1515515, -118.4268665)",76,305,47,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Total Homeless Population,2017,4,"Census Tract 1112.02, Los Angeles County, California",111202,Granada Hills,1400000US06037111202,Total_Homeless_Population_2017_1400000US06037111202,01/01/2017 12:00:00 AM,"(34.2683485, -118.5151565)",76,305,1892,76,89,263,263,257,263,263
Housing & Real Estate,Homelessness,Total Homeless Population,2018,157,"Census Tract 1910, Los Angeles County, California",191000,Hollywood,1400000US06037191000,Total_Homeless_Population_2018_1400000US06037191000,01/01/2018 12:00:00 AM,"(34.1016045, -118.320651)",76,305,1016,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Total Homeless Population,2017,183,"Census Tract 1061.12, Los Angeles County, California",106112,Sylmar,1400000US06037106112,Total_Homeless_Population_2017_1400000US06037106112,01/01/2017 12:00:00 AM,"(34.305005, -118.414298)",76,305,2313,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Total Homeless Population,2017,175,"Census Tract 1909.01, Los Angeles County, California",190901,Hollywood,1400000US06037190901,Total_Homeless_Population_2017_1400000US06037190901,01/01/2017 12:00:00 AM,"(34.094431, -118.3124765)",76,305,1638,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1212.21, Los Angeles County, California",121221,Sun Valley,1400000US06037121221,Sheltered_Population_2018_1400000US06037121221,01/01/2018 12:00:00 AM,"(34.227323, -118.396127)",76,305,295,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Total Homeless Population,2017,12,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,Total_Homeless_Population_2017_1400000US06037101110,01/01/2017 12:00:00 AM,"(34.2595555, -118.293602)",76,305,496,76,232,145,145,148,148,148
Housing & Real Estate,Homelessness,Total Homeless Population,2018,2,"Census Tract 1242.03, Los Angeles County, California",124203,North Hollywood,1400000US06037124203,Total_Homeless_Population_2018_1400000US06037124203,01/01/2018 12:00:00 AM,"(34.177602, -118.3746645)",76,305,1587,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Total Homeless Population,2018,33,"Census Tract 1864.03, Los Angeles County, California",186403,Glassell Park,1400000US06037186403,Total_Homeless_Population_2018_1400000US06037186403,01/01/2018 12:00:00 AM,"(34.111287, -118.2393275)",76,305,1604,76,85,178,171,174,173,173
Housing & Real Estate,Homelessness,Total Homeless Population,2018,18,"Census Tract 1192.01, Los Angeles County, California",119201,Arleta,1400000US06037119201,Total_Homeless_Population_2018_1400000US06037119201,01/01/2018 12:00:00 AM,"(34.246411, -118.441015)",76,305,1573,76,10,161,172,164,162,162
Housing & Real Estate,Homelessness,Total Homeless Population,2018,9,"Census Tract 1132.33, Los Angeles County, California",113233,Canoga Park,1400000US06037113233,Total_Homeless_Population_2018_1400000US06037113233,01/01/2018 12:00:00 AM,"(34.2275575, -118.6017175)",76,305,1894,76,35,73,223,225,225,225
Housing & Real Estate,Homelessness,Total Homeless Population,2017,10,"Census Tract 1154.03, Los Angeles County, California",115403,Northridge,1400000US06037115403,Total_Homeless_Population_2017_1400000US06037115403,01/01/2017 12:00:00 AM,"(34.22481, -118.5317135)",76,305,26,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Total Homeless Population,2017,5,"Census Tract 1371.03, Los Angeles County, California",137103,Woodland Hills,1400000US06037137103,Total_Homeless_Population_2017_1400000US06037137103,01/01/2017 12:00:00 AM,"(34.1742965, -118.6015635)",76,305,758,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1271.03, Los Angeles County, California",127103,Van Nuys,1400000US06037127103,Sheltered_Population_2018_1400000US06037127103,01/01/2018 12:00:00 AM,"(34.2046925, -118.42898)",76,305,744,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 1397.02, Los Angeles County, California",139702,Encino,1400000US06037139702,Total_Homeless_Population_2017_1400000US06037139702,01/01/2017 12:00:00 AM,"(34.1430395, -118.504833)",76,305,1116,76,79,266,267,266,266,266
Housing & Real Estate,Homelessness,Total Homeless Population,2017,9,"Census Tract 1397.01, Los Angeles County, California",139701,Encino,1400000US06037139701,Total_Homeless_Population_2017_1400000US06037139701,01/01/2017 12:00:00 AM,"(34.157356, -118.4967075)",76,305,1115,76,79,266,267,266,266,266
Housing & Real Estate,Homelessness,Unsheltered Population,2018,7,"Census Tract 1034, Los Angeles County, California",103400,Sunland,1400000US06037103400,Unsheltered_Population_2018_1400000US06037103400,01/01/2018 12:00:00 AM,"(34.253933, -118.3147245)",76,305,1286,76,223,259,260,256,256,256
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 1319, Los Angeles County, California",131900,Lake Balboa,1400000US06037131900,Unsheltered_Population_2017_1400000US06037131900,01/01/2017 12:00:00 AM,"(34.2047185, -118.50986)",76,305,1544,76,77,139,135,138,135,135
